schema,table,column,inferred_dtype
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,end_date,timestamp
manufacturing,other_manufacturing_country_emissions,emissions_quantity,float4
forestry_and_land_use,water_reservoirs_emissions_sources,lon,float4
manufacturing,petrochemicals_country_emissions,start_time,timestamp
manufacturing,petrochemicals_emissions_sources,source_id,bigint
mineral_extraction,copper_mining_emissions_sources_confidence,created_date,timestamp
forestry_and_land_use,wetland_fires_emissions_sources,created_date,timestamp
forestry_and_land_use,forest_land_clearing_emissions_sources_confidence,modified_date,timestamp
agriculture,manure_management_other_country_emissions,modified_date,timestamp
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,emissions_quantity,float4
forestry_and_land_use,forest_land_degradation_emissions_sources,lat,float4
mineral_extraction,iron_mining_country_emissions,modified_date,timestamp
mineral_extraction,iron_mining_emissions_sources_ownership,company_id,bigint
forestry_and_land_use,water_reservoirs_country_emissions,created_date,timestamp
transportation,domestic_aviation_emissions_sources_ownership,lon,float4
forestry_and_land_use,net_wetland_emissions_sources_confidence,source_id,bigint
mineral_extraction,bauxite_mining_emissions_sources,start_time,timestamp
manufacturing,cement_country_emissions,emissions_quantity,float4
agriculture,manure_management_cattle_feedlot_emissions_sources,created_date,timestamp
fossil_fuel_operations,solid_fuel_transformation_country_emissions,end_time,timestamp
mineral_extraction,bauxite_mining_emissions_sources_confidence,source_id,bigint
buildings,residential_and_commercial_onsite_fuel_usage_country_emissions,emissions_quantity,float4
forestry_and_land_use,net_shrubgrass_emissions_sources,end_time,timestamp
transportation,road_transportation_country_emissions,modified_date,timestamp
forestry_and_land_use,wetland_fires_emissions_sources,emissions_quantity,float4
manufacturing,chemicals_country_emissions,start_time,timestamp
mineral_extraction,bauxite_mining_emissions_sources_ownership,source_id,bigint
manufacturing,aluminum_country_emissions,start_time,timestamp
forestry_and_land_use,forest_land_degradation_emissions_sources,source_id,bigint
forestry_and_land_use,wetland_fires_emissions_sources_confidence,created_date,timestamp
forestry_and_land_use,water_reservoirs_emissions_sources,modified_date,timestamp
forestry_and_land_use,forest_land_fires_emissions_sources_confidence,modified_date,timestamp
agriculture,synthetic_fertilizer_application_country_emissions,start_time,timestamp
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,company_id,bigint
manufacturing,steel_emissions_sources,emissions_quantity,float4
fossil_fuel_operations,coal_mining_emissions_sources_ownership,percent_interest_company,float4
mineral_extraction,copper_mining_emissions_sources_ownership,company_id,bigint
waste,solid_waste_disposal_emissions_sources_confidence,created_date,timestamp
forestry_and_land_use,water_reservoirs_emissions_sources_confidence,created_date,timestamp
manufacturing,cement_emissions_sources_ownership,start_date,timestamp
transportation,international_shipping_emissions_sources,lon,float4
transportation,road_transportation_emissions_sources_confidence,source_id,bigint
forestry_and_land_use,forest_land_fires_emissions_sources,lon,float4
forestry_and_land_use,water_reservoirs_emissions_sources,end_time,timestamp
agriculture,cropland_fires_country_emissions,created_date,timestamp
transportation,domestic_aviation_emissions_sources_confidence,start_time,timestamp
transportation,domestic_aviation_emissions_sources,emissions_quantity,float4
transportation,other_transport_country_emissions,start_time,timestamp
fossil_fuel_operations,coal_mining_emissions_sources_ownership,start_date,timestamp
forestry_and_land_use,net_forest_land_emissions_sources_confidence,source_id,bigint
waste,solid_waste_disposal_emissions_sources,start_time,timestamp
manufacturing,cement_emissions_sources_ownership,percent_interest_company,float4
agriculture,rice_cultivation_country_emissions,end_time,timestamp
fluorinated_gases,fluorinated_gases_country_emissions,emissions_quantity,float4
transportation,international_aviation_country_emissions,modified_date,timestamp
forestry_and_land_use,shrubgrass_fires_country_emissions,emissions_quantity,float4
transportation,domestic_shipping_emissions_sources_confidence,created_date,timestamp
agriculture,synthetic_fertilizer_application_emissions_sources,lon,float4
fossil_fuel_operations,coal_mining_country_emissions,modified_date,timestamp
agriculture,rice_cultivation_emissions_sources,lon,float4
manufacturing,other_manufacturing_emissions_sources,lon,float4
waste,incineration_and_open_burning_of_waste_country_emissions,end_time,timestamp
forestry_and_land_use,net_forest_land_emissions_sources,emissions_quantity,float4
